,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
95,Kelvin Amian,fr FRA,DF,Spezia,it Serie A,24,1998,30,26,"2,372",26.4,0.00,0.04,0.04,0.00,0,0,7,1
96,Bruno Amione,ar ARG,DF,Hellas Verona,it Serie A,20,2002,1,1,58,0.6,0.00,0.00,0.00,0.00,0,0,1,0
97,Bruno Amione,ar ARG,DF,Sampdoria,it Serie A,20,2002,26,25,"2,086",23.2,0.04,0.04,0.09,0.04,0,0,10,1
98,Nadiem Amiri,de GER,"MF,FW",Leverkusen,de Bundesliga,25,1996,25,9,977,10.9,0.37,0.09,0.46,0.28,1,1,6,0
99,Samuel Amo-Ameyaw,eng ENG,MF,Southampton,eng Premier League,16,2006,1,0,4,0.0,0.00,0.00,0.00,0.00,0,0,0,0
100,Ethan Ampadu,wls WAL,"DF,MF",Spezia,it Serie A,21,2000,31,31,"2,639",29.3,0.00,0.03,0.03,0.00,0,0,10,1
101,Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,25,1996,29,24,"1,998",22.2,0.00,0.05,0.05,0.00,0,0,11,0
102,Ayoub Amraoui,ma MAR,"DF,FW",Nice,fr Ligue 1,18,2004,7,3,294,3.3,0.00,0.00,0.00,0.00,0,0,1,0
103,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,26,1996,32,32,"2,782",30.9,0.03,0.00,0.03,0.03,0,0,8,0
104,Elliot Anderson,sct SCO,"MF,FW",Newcastle Utd,eng Premier League,19,2002,22,3,410,4.6,0.00,0.22,0.22,0.00,0,0,0,0
105,Felipe Anderson,br BRA,FW,Lazio,it Serie A,29,1993,38,35,"2,958",32.9,0.27,0.06,0.33,0.27,0,0,3,0
106,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,31,1990,34,33,"2,916",32.4,0.03,0.03,0.06,0.03,0,0,12,0
107,Marcos André,br BRA,"FW,MF",Valencia,es La Liga,25,1996,17,3,447,5.0,0.20,0.00,0.20,0.20,0,0,2,1
108,Komnen Andrić,rs SRB,FW,Clermont Foot,fr Ligue 1,27,1995,34,16,"1,446",16.1,0.25,0.19,0.44,0.19,1,2,4,0
109,Robert Andrich,de GER,MF,Leverkusen,de Bundesliga,27,1994,29,28,"2,406",26.7,0.07,0.07,0.15,0.07,0,0,7,0
110,Angeliño,es ESP,DF,Hoffenheim,de Bundesliga,25,1997,33,30,"2,617",29.1,0.00,0.28,0.28,0.00,0,0,2,0
111,Fabrizio Angileri,ar ARG,DF,Getafe,es La Liga,28,1994,15,7,585,6.5,0.00,0.00,0.00,0.00,0,0,2,1
112,Jaidon Anthony,eng ENG,"MF,FW",Bournemouth,eng Premier League,22,1999,30,11,"1,257",14.0,0.21,0.07,0.29,0.21,0,0,2,0
113,Janis Antiste,fr FRA,FW,Sassuolo,it Serie A,19,2002,2,0,52,0.6,1.73,0.00,1.73,1.73,0,0,0,0
114,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,26,1996,34,34,"2,934",32.6,0.03,0.06,0.09,0.03,0,0,4,0
